date,site_id,units_produced,downtime_minutes,power_kwh,rework_units,defects_ppm,staff_count,material_cost_per_unit,price_per_unit,temperature_c,rainfall_mm,holiday_flag
2025-01-01,S1,1258,44,4119,21,430,57,72.1,95.85,21.7,0.0,0
2025-01-02,S1,1411,78,4989,25,540,54,71.43,96.04,19.7,0.0,0
2025-01-03,S1,1332,43,4750,20,388,53,72.15,95.87,21.5,0.0,0
2025-01-04,S1,1136,31,3862,27,453,53,72.13,96.19,23.0,0.0,0
2025-01-05,S1,1029,188,4710,26,494,53,72.2,96.12,23.3,0.0,0
2025-01-06,S1,1124,40,3710,36,403,54,72.39,96.09,22.1,0.0,0
2025-01-07,S1,1217,53,4185,31,405,54,72.06,96.05,23.2,3.5,0
2025-01-08,S1,1229,89,4501,26,400,55,71.8,96.11,22.2,0.0,0
2025-01-09,S1,1151,24,3929,20,450,51,72.47,96.26,24.2,0.0,0
2025-01-10,S1,1202,255,6147,21,546,54,72.04,96.35,22.1,0.0,0
2025-01-11,S1,1279,47,4396,37,407,51,72.27,96.02,23.3,2.4,0
2025-01-12,S1,1041,56,3561,30,473,52,72.14,96.33,21.6,0.0,0
2025-01-13,S1,1151,62,3957,21,361,55,72.08,96.19,21.2,0.0,0
2025-01-14,S1,1255,78,4326,31,484,54,72.65,96.47,21.8,0.0,0
2025-01-15,S1,1430,35,4975,26,305,54,71.93,96.15,20.8,0.0,0
2025-01-16,S1,1210,46,4350,23,657,53,72.77,96.28,21.8,0.0,0
2025-01-17,S1,0,0,0,0,0,0,0.0,0.0,22.1,0.0,1
2025-01-18,S1,1187,182,5294,19,509,55,72.18,96.41,21.9,0.0,0
2025-01-19,S1,960,36,3338,20,316,50,71.97,96.65,23.5,0.0,0
2025-01-20,S1,1351,78,4549,43,389,53,72.06,96.55,23.3,0.0,0
2025-01-21,S1,1316,83,4804,19,391,55,72.45,96.79,20.8,0.0,0
2025-01-22,S1,1258,82,4537,30,521,55,72.6,96.41,21.5,0.0,0
2025-01-23,S1,1192,56,4191,33,391,53,72.25,96.58,20.8,0.0,0
2025-01-24,S1,1226,37,4125,26,341,57,72.21,97.03,19.5,0.0,0
2025-01-25,S1,0,0,0,0,0,0,0.0,0.0,23.8,0.0,1
2025-01-26,S1,1076,53,3606,32,427,53,72.63,96.79,19.8,2.5,0
2025-01-27,S1,1268,30,4358,31,483,53,72.92,96.85,22.5,0.0,0
2025-01-28,S1,1257,34,4528,25,539,53,72.75,96.98,20.8,0.0,0
2025-01-29,S1,1492,44,4776,44,421,58,72.45,96.77,21.3,1.1,0
2025-01-30,S1,1302,62,4507,36,445,55,72.36,96.93,22.2,2.0,0
2025-01-31,S1,1404,55,4999,42,458,56,72.77,96.65,23.8,0.0,0
2025-02-01,S1,1304,24,4477,22,460,52,72.64,96.81,23.7,0.0,0
2025-02-02,S1,1168,84,4157,22,603,50,72.58,96.98,22.7,0.0,0
2025-02-03,S1,1171,52,4157,31,446,53,72.66,96.82,22.2,0.0,0
2025-02-04,S1,1151,48,4005,27,385,54,72.79,96.95,24.1,0.0,0
2025-02-05,S1,0,0,0,0,0,0,0.0,0.0,22.5,0.0,1
2025-02-06,S1,0,0,0,0,0,0,0.0,0.0,20.8,0.0,1
2025-02-07,S1,1468,66,4980,23,429,55,72.95,96.91,21.6,0.0,0
2025-02-08,S1,1255,80,4517,29,388,54,72.66,96.99,22.4,0.0,0
2025-02-09,S1,873,80,3235,21,414,52,72.72,97.09,23.3,2.1,0
2025-02-10,S1,1272,44,4052,28,499,57,72.93,97.18,20.7,0.0,0
2025-02-11,S1,1047,223,5087,25,481,55,72.66,97.07,18.0,0.0,0
